Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description,Original Concept URI
2017-2018/q3,2017-2018/Q3,2017-2018/q3,,50,,http://reference.data.gov.uk/id/government-quarter/2017-2018/Q3
2017-2018/q4,2017-2018/Q4,2017-2018/q4,,51,,http://reference.data.gov.uk/id/government-quarter/2017-2018/Q4
2018-2019/q1,2018-2019/Q1,2018-2019/q1,,52,,http://reference.data.gov.uk/id/government-quarter/2018-2019/Q1
2018-2019/q2,2018-2019/Q2,2018-2019/q2,,53,,http://reference.data.gov.uk/id/government-quarter/2018-2019/Q2
2018-2019/q3,2018-2019/Q3,2018-2019/q3,,54,,http://reference.data.gov.uk/id/government-quarter/2018-2019/Q3
2018-2019/q4,2018-2019/Q4,2018-2019/q4,,55,,http://reference.data.gov.uk/id/government-quarter/2018-2019/Q4
2019-2020/q1,2019-2020/Q1,2019-2020/q1,,56,,http://reference.data.gov.uk/id/government-quarter/2019-2020/Q1
2019-2020/q2,2019-2020/Q2,2019-2020/q2,,57,,http://reference.data.gov.uk/id/government-quarter/2019-2020/Q2
2019-2020/q3,2019-2020/Q3,2019-2020/q3,,58,,http://reference.data.gov.uk/id/government-quarter/2019-2020/Q3
2019-2020/q4,2019-2020/Q4,2019-2020/q4,,59,,http://reference.data.gov.uk/id/government-quarter/2019-2020/Q4
2020-2021/q1,2020-2021/Q1,2020-2021/q1,,60,,http://reference.data.gov.uk/id/government-quarter/2020-2021/Q1
2020-2021/q2,2020-2021/Q2,2020-2021/q2,,61,,http://reference.data.gov.uk/id/government-quarter/2020-2021/Q2
2020-2021/q3,2020-2021/Q3,2020-2021/q3,,62,,http://reference.data.gov.uk/id/government-quarter/2020-2021/Q3
2020-2021/q4,2020-2021/Q4,2020-2021/q4,,63,,http://reference.data.gov.uk/id/government-quarter/2020-2021/Q4
2021-2022/q1,2021-2022/Q1,2021-2022/q1,,64,,http://reference.data.gov.uk/id/government-quarter/2021-2022/Q1
2021-2022/q2,2021-2022/Q2,2021-2022/q2,,65,,http://reference.data.gov.uk/id/government-quarter/2021-2022/Q2
2021-2022/q3,2021-2022/Q3,2021-2022/q3,,66,,http://reference.data.gov.uk/id/government-quarter/2021-2022/Q3
2021-2022/q4,2021-2022/Q4,2021-2022/q4,,67,,http://reference.data.gov.uk/id/government-quarter/2021-2022/Q4
2022-2023/q1,2022-2023/Q1,2022-2023/q1,,68,,http://reference.data.gov.uk/id/government-quarter/2022-2023/Q1
2022-2023/q2,2022-2023/Q2,2022-2023/q2,,69,,http://reference.data.gov.uk/id/government-quarter/2022-2023/Q2
2022-2023/q3,2022-2023/Q3,2022-2023/q3,,70,,http://reference.data.gov.uk/id/government-quarter/2022-2023/Q3
2022-2023/q4,2022-2023/Q4,2022-2023/q4,,71,,http://reference.data.gov.uk/id/government-quarter/2022-2023/Q4
2023-2024/q1,2023-2024/Q1,2023-2024/q1,,72,,http://reference.data.gov.uk/id/government-quarter/2023-2024/Q1
